key,en,zh-Hans,zh-Hant,ja-JP,ko-KR,ms-MY,th-TH,vi-VN,hi-IN,de-DE,fr-FR,pt-PT,es-ES,it-IT,nl-NL,no-NO,sv-SE,ro-RO,cs-CZ
alerts.missingPassword,Please enter your password,请输入密码,請輸入密碼,パスワードを入力してください,비밀번호를 입력하세요,Sila masukkan kata laluan,กรุณากรอกรหัสผ่าน,Vui lòng nhập mật khẩu,कृपया अपना पासवर्र्ड दर्ज करें,Bitte Passwort eingeben,Veuillez saisir le mot de passe,Insira a senha,Introduce la contraseña,Inserisci la password,Voer wachtwoord in,Skriv inn passord,Ange lösenord,Introduceți parola,Zadejte heslo
alerts.passwordMismatch,Passwords do not match,两次密码输入不一致,兩次密碼輸入不一致,パスワードが一致しません,비밀번호가 일치하지 않습니다,Kata laluan tidak sepadan,รหัสผ่านไม่ตรงกัน,Mật khẩu không khớp,पासवर्ड मेल नहीं खाते,Passwörter stimmen nicht überein,Les mots de passe ne correspondent pas,As senhas não coincidem,Las contraseñas no coinciden,Le due password non coincidono,De wachtwoorden komen niet overeen,Passordene stemmer ikke overens,Lösenorden matchar inte,Parolele nu se potrivesc,Zadaná hesla se neshodují
alerts.missingInviteCode,Please enter the invitation code,请输入邀请码,請輸入邀請碼,招待コードを入力してください,인증 코드를 입력하세요,Sila masukkan kod jemputan,กรุณากรอกรหัสคำเชิญ,Vui lòng nhập mã mời,कृपया आमंत्रण कोड दर्ज करें,Bitte Einladungscode eingeben,Veuillez entrer le code d’invitation,Insira o código de convite,Ingrese el código de invitación,Inserisci il codice invito,Voer uitnodigingscode in,Skriv inn invitasjonskode,Ange inbjudningskod,Introduceți codul de invitație,Zadejte pozvánkový kód
alerts.agreementRequired,Please read and agree to the Terms of Service and Privacy Policy,请阅读并同意服务条款和隐私政策,請閱讀並同意服務條款和隱私政策,サービス約款およびプライバシーポリシーに同意してください,서비스 약관과 개인정보 보호정책에 동의해 주세요,Sila baca dan setuju dengan Terma Perkhidmatan dan Dasar Privasi,กรุณาอ่านและยอมรับข้อกำหนดการให้บริการและนโยบายความเป็นส่วนตัว,Vui lòng đọc và đồng ý với Điều khoản Dịch vụ và Chính sách Bảo mật,कृपया सेवा की शर्तें और गोपनीयता नीति पढ़ें और उनसे सहमत हों,Bitte Nutzungsbedingungen und Datenschutzrichtlinie lesen und zustimmen,Lisez et acceptez les conditions et la politique de confidentialité,Leia e aceite os termos e a política de privacidade,Lea y acepte los términos y la política de privacidad,Leggi e accetta i termini e la privacy,Lees en ga akkoord met de servicevoorwaarden en het privacybeleid,Les og godta vilkårene og personvernerklæringen,Läs och godkänn användarvillkoren och integritetspolicyn,Citiți și acceptați termenii serviciului și politica de confidențialitate,Přečtěte si a souhlaste s podmínkami služby a zásadami ochrany osobních údajů
alerts.resetPasswordTip,You have not bound Google Authenticator. Password reset is unavailable.,您未绑定谷歌身份验证器，无法重置密码,您未綁定谷歌身份驗證器，無法重置密碼,Google認証アプリが連携されていないため、パスワードをリセットできません,",Google 인증기가 연동되지 않아 비밀번호를 재설정할 수 없습니다",Anda belum mengikat Google Authenticator. Tetapan semula kata laluan tidak tersedia.,คุณยังไม่ได้ผูก Google Authenticator ไม่สามารถรีเซ็ตรหัสผ่านได้,Bạn chưa liên kết Google Authenticator. Không thể đặt lại mật khẩu.,आपने Google Authenticator बाइंड नहीं किया है। पासवर्ड रीसेट उपलब्ध नहीं है।,Google Authenticator nicht verbunden – Zurücksetzen nicht möglich,Google Authenticator non lié – réinitialisation impossible,Google Authenticator não vinculado – não é possível redefinir,No tiene vinculado Google Authenticator – no se puede restablecer,Google Authenticator non collegato – impossibile reimpostare la password,"U heeft Google Authenticator niet gekoppeld, wachtwoord reset is niet mogelijk","Du har ikke koblet til Google Authenticator, passordet kan ikke tilbakestilles","Du har inte kopplat Google Authenticator, kan inte återställa lösenord","Nu ați conectat Google Authenticator, nu puteți reseta parola","Nepropojili jste Google Authenticator, nelze obnovit heslo"
alerts.passwordInvalid,"8–30 characters, must include uppercase and lowercase letters and numbers",8-30个字符，必须包含大小写字母和数字,8-30個字符，必須包含大小寫字母和數字,8～30文字、大文字・小文字・数字を含めてください,"8~30자, 대소문자 및 숫자를 포함해야 합니다","8–30 aksara, mesti mengandungi huruf besar, huruf kecil, dan nombor",ความยาว 8–30 ตัวอักษร ต้องประกอบด้วยตัวพิมพ์ใหญ่ ตัวพิมพ์เล็ก และตัวเลข,"8–30 ký tự, phải bao gồm chữ hoa, chữ thường và số","8–30 अक्षर, इसमें बड़े और छोटे अक्षर और संख्यााएँ शामिल होनी चाहिए","8–30 Zeichen, inkl. Groß-/Kleinbuchstaben und Zahlen","8 à 30 caractères avec majuscules, minuscules et chiffres",8–30 caracteres com letras maiúsculas/minúsculas e números,8–30 caracteres con letras mayúsculas/minúsculas y números,Da 8 a 30 caratteri con lettere maiuscole/minuscole e numeri,"8-30 tekens, moet hoofdletters, kleine letters en cijfers bevatten","8–30 tegn, må inneholde store og små bokstaver samt tall","8–30 tecken, måste innehålla versaler, gemener och siffror","8–30 caractere, trebuie să conțină litere mari, mici și cifre","8–30 znaků, musí obsahovat velká i malá písmena a číslice"
alerts.loginSuccess,Login successful,登录成功,登入成功,ログイン成功,로그인 성공,Log masuk berjaya,เข้าสู่ระบบสำเร็จ,Đăng nhập thành công,लॉगिन सफल,Anmeldung erfolgreich,Connexion réussie,Login bem-sucedido,Inicio de sesión exitoso,Accesso riuscito,Inloggen geslaagd,Innlogging vellykket,Inloggning lyckades,Autentificare reușită,Přihlášení bylo úspěšné
alerts.tip,Notice,提示,提示,お知らせ,알림,Notis,ประกาศ,Thông báo,सूचना,Hinweis,Alerte,Dica,Aviso,Suggerimento,Tip,Hint,Tips,Sfat,Tip
alerts.comingSoon,Coming Soon,敬请期待,敬請期待,近日公開予定,곧 출시 예정,Akan Datang,เร็วๆ นี้,Sắp ra mắt,जल्द ही आ रहा है,In Kürze verfügbar,Bientôt disponible,Em breve,Próximamente,Prossimamente,Blijf op de hoogte,Kommer snart,Kommer snart,În curând,Připravujeme
alerts.invalidEmail,Invalid email address,无效的电子邮件地址,無效的電子郵件地址,無効なメールアドレス,유효하지 않은 이메일 주소,Alamat emel tidak sah,ที่อยู่อีเมลไม่ถูกต้อง,Địa chỉ email không hợp lệ,,Ungültige E-Mail-Adresse,Adresse e-mail invalide,Endereço de e-mail inválido,Dirección de correo inválida,Indirizzo email non valido,Ongeldig e-mailadres,Ugyldig e-postadresse,Ogiltig e-postadress,Adresă de e-mail nevalidă,Neplatná e-mailová adresa
alerts.checkEmailTip,Invalid email address,无效的电子邮件地址,無效的電子郵件地址,無効なメールアドレス,유효하지 않은 이메일 주소,Alamat emel tidak sah,ที่อยู่อีเมลไม่ถูกต้อง,Địa chỉ email không hợp lệ,,Ungültige E-Mail-Adresse,Adresse e-mail invalide,Endereço de e-mail inválido,Dirección de correo inválida,Indirizzo email non valido,Ongeldig e-mailadres,Ugyldig e-postadresse,Ogiltig e-postadress,Adresă de e-mail nevalidă,Neplatná e-mailová adresa
user.title,Personal Center,个人中心,個人中心,個人センター,개인 센터,Pusat Peribadi,ศูนย์ส่วนตัว,Trung tâm cá nhân,व्यक्तििगत केंद्र,Persönliches Zentrum,Centre personnel,Central Pessoal,Centro personal,Centro personale,Persoonlijk centrum,Personlig senter,Personligt centrum,Centru personal,Osobní centrum
user.level,Current Level,当前等级,當前等級,現在のレベル,현재 등급,Tahap Semasa,ระดับปัจจุบัน,Cấp độ hiện tại,वर्तमान स्तर,Aktuelle Stufe,Niveau actuel,Nível atual,Nivel actual,Livello attuale,Huidig niveau,Nåværende nivå,Nuvarande nivå,Nivelul actual,Aktuální úroveň
user.invite,Invite Friends,邀请好友,邀請好友,友達を招待,친구 초대,Jemput Rakan,เชิญเพื่อน,Mời bạn bè,मित्रों को आमंत्रित करें,Freunde einladen,Inviter des amis,Convidar amigos,Invitar amigos,Invita amici,Vrienden uitnodigen,Inviter venner,Bjud in vänner,Invită prieteni,Pozvat přátele
user.inviteDesc,Get High Rebates,获得高额返利,獲得高額返利,高額リベートを獲得,높은 리베이트 받기,Dapatkan Rebate Tinggi,รับค่าคอมมิชชั่นสูง,Nhận hoàn tiền cao,उच्च रिबेट्स प्राप्त करें,Hohe Rückvergütung erhalten,Recevez un remboursement élevé,Ganhe altos reembolsos,Obtén altas recompensas,Ottieni un alto cashback,Ontvang hoge cashback,Få høy cashback,Få höga återbäringar,Obține rambursări mari,Získejte vysoké odměny
user.language,Display Language,显示语言,顯示語言,表示言語,언어 설정,Paparan Bahasa,ภาษาแสดงผล,Ngôn ngữ hiển thị,प्रदर्र्शन भाषा,Anzeigesprache,Langue d’affichage,Idioma de exibição,Idioma de visualización,Lingua di visualizzazione,Taal weergeven,Vis språk,Visa språk,Afișare limbă,Zobrazit jazyk
user.addressBook,Address Book,地址簿,地址簿,アドレス帳,주소록,Buku Alamat,สมุดที่อยู่,Danh bạ địa chỉ,पता पुस्तिका,Adressbuch,Carnet d’adresses,Livro de endereços,Libreta de direcciones,Rubrica,Adresboek,Adressebok,Adressbok,Agenda de adrese,Adresář
user.securitySettings,Security Settings,安全设置,安全設置,セキュリティ設定,보안 설정,Tetapan Keselamatan,การตั้งค่าความปลอดภัย,Cài đặt bảo mật,सुरक्षा सेटिंग्स,Sicherheitseinstellungen,Paramètres de sécurité,Configurações de segurança,Configuración de seguridad,Impostazioni di sicurezza,Beveiligingsinstellingen,Sikkerhetsinnstillinger,Säkerhetsinställningar,Setări de securitate,Nastavení zabezpečení
user.logout,Log out,退出登录,退出登入,ログアウト,로그아웃,Log keluar,ออกจากระบบ,Đăng xuất,लॉग आउट,Abmelden,Déconnexion,Sair,Cerrar sesión,Esci,Afmelden,Logg ut,Logga ut,Deconectare,Odhlásit se
user.confirmLogout,Are you sure you want to log out?,确定要退出登录吗？,確定要退出登入嗎？,ログアウトしてもよろしいですか？,로그아웃하시겠습니까?,Adakah anda pasti ingin log keluar?,คุณแน่ใจหรือไม่ที่จะออกจากระบบ?,Bạn có chắc chắn muốn đăng xuất không?,क्या आप वाकई लॉग आउट करना चाहते हैं?,Möchten Sie sich wirklich abmelden?,Êtes-vous sûr de vouloir vous déconnecter ?,Tem certeza que deseja sair?,¿Está seguro de cerrar sesión?,Sei sicuro di voler uscire?,Bent u zeker dat u wilt uitloggen?,Er du sikker på at du vil logge ut?,Är du säker på att du vill logga ut?,Sunteți sigur că doriți să vă deconectați?,Opravdu se chcete odhlásit?
user.normalUser,Normal,普通用户,普通用戶,一般ユーザー,일반 사용자,Pengguna Biasa,ผู้ใช้ทั่วไป,Thường,सामान्य उपयोगकर्ता,Standardbenutzer,Utilisateur standard,Usuário padrão,Usuario estándar,Utente standard,Normale gebruiker,Vanlig bruker,Vanlig användare,Utilizator obișnuit,Obyčejný uživatel
user.takePhoto,Take Photo,拍照,拍照,写真撮影,사진 촬영,Ambil Gambar,ถ่ายภาพใหม่,Chụp ảnh,फोटो खींचें,Foto aufnehmen,Prendre une photo,Tirar foto,Tomar foto,Scatta foto,Maak een foto,Ta et bilde,Ta ett foto,Fă o fotografie,Pořídit fotografii
user.chooseFromAlbum,Choose from Album,从相册选择,從相冊選擇,アルバムから選択,앨범에서 선택,Pilih dari Album,เลือกจากอัลบั้ม,Chọn từ Album,एल्बम से चुनें,Aus Galerie auswählen,Choisir depuis la galerie,Selecionar da galeria,Elegir desde la galería,Scegli dalla galleria,Kies uit album,Velg fra album,Välj från album,Alege din album,Vybrat z alba
user.cancel,Cancel,取消,取消,キャンセル,취소,Batal,ยกเลิก,Hủy,रद्द करें,Abbrechen,Annuler,Cancelar,Cancelar,Annulla,Annuleren,Avbryt,Avbryt,Anulează,Zrušit
user.avatarUpdateSuccess,Avatar Updated Successfully,头像更新成功,頭像更新成功,プロフィール画像を更新しました,프로필 사진이 업데이트되었습니다,Avatar DikemasKini Berjaya,อัปเดตรูปโปรไฟล์สำเร็จ,Cập nhật ảnh đại diện thành công,प्रोफााइल चित्र सफलतापूर्वक अपडेट किया गया,Profilbild erfolgreich aktualisiert,Photo de profil mise à jour avec succès,Avatar atualizado com sucesso,Avatar actualizado correctamente,Avatar aggiornato con successo,Profielfoto succesvol bijgewerkt,Profilbildet ble oppdatert vellykket,Profilbild uppdaterades,Kactualizarea fotografiei de profil a reușit,Profilový obrázek byl úspěšně aktualizován
user.idCopied,ID copied to clipboard,ID已复制到剪贴板,ID已複製到剪貼板,IDがクリップボードにコピーされました,ID가 클립보드에 복사되었습니다,ID disalin ke papan klip,คัดลอก ID ไปยังคลิปบอร์ดแล้ว,ID đã được sao chép vào bộ nhớ tạm,आईडी क्लिपबोर्र्ड पर कॉपी हो गई,ID in Zwischenablage kopiert,ID copiée dans le presse-papiers,ID copiado para a área de transferência,ID copiado al portapapeles,ID copiata negli appunti,ID is gekopieerd naar klembord,ID kopiert til utklippstavlen,ID kopierades till urklipp,ID copiat în clipboard,ID zkopírováno do schránky
address.title,Address Book,地址簿,地址簿,アドレス帳,주소록,Buku Alamat,สมุดที่อยู่,Danh bạ địa chỉ,पता पुस्तिका,Adressbuch,Carnet d’adresses,Lista de endereços,Libreta de direcciones,Rubrica,Adresboek,Adressebok,Adressbok,Agenda de adrese,Adresář
address.emptyTip,You haven't added any address yet,您还未添加地址,您還未添加地址,まだアドレスが追加されていません,아직 추가된 주소가 없습니다,Anda belum menambah sebarang alamat lagi,คุณยังไม่ได้เพิ่มที่อยู่ใดๆ,Bạn chưa thêm địa chỉ nào,आपने अभी तक कोई पता नहीं जोड़ा है,Sie haben noch keine Adresse hinzugefügt,Vous n’avez pas encore ajouté d’adresse,Você ainda não adicionou um endereço,Aún no has agregado ninguna dirección,Non hai ancora aggiunto un indirizzo,U heeft nog geen adres toegevoegd,Du har ikke lagt til noen adresse,Du har inte lagt till någon adress,Nu ați adăugat nicio adresă,Zatím jste nepřidali žádnou adresu
address.addAddress,Add Address,添加地址,添加地址,アドレスを追加,주소 추가,Tambah Alamat,เพิ่มที่อยู่,Thêm địa chỉ,पता जोड़ें,Adresse hinzufügen,Ajouter une adresse,Adicionar endereço,Agregar dirección,Aggiungi indirizzo,Adres toevoegen,Legg til adresse,Lägg till adress,Adaugă adresă,Přidat adresu
address.manage,Manage,管理,管理,管理,관리,Urus,จัดการ,Quản lý,प्रबंधित करें,Verwalten,Gérer,Gerenciar,Administrar,Gestisci,Beheer,Administrer,Hantera,Administrează,Správa
address.selectAll,Select All,全选,全選,すべて選択,전체 선택,Pilih Semua,เลือกทั้งหมด,Chọn tất cả,सभी चुनें,Alle auswählen,Tout sélectionner,Selecionar tudo,Seleccionar todo,Seleziona tutto,Alles selecteren,Velg alle,Markera alla,Selectează tot,Vybrat vše
address.delete,Delete,删除,刪除,削除,삭제,Padam,ลบ,Xóa,मिटाएँ,Löschen,Supprimer,Excluir,Eliminar,Elimina,Verwijderen,Slett,Ta bort,Șterge,Odstranit
address.confirmDelete,Are you sure you want to delete the selected addresses?,确定要删除选中的地址吗？,確定要刪除選中的地址嗎？,選択したアドレスを削除してもよろしいですか？,선택한 주소를 삭제하시겠습니까?,Adakah anda pasti ingin memadam alamat yang dipilih?,คุณแน่ใจหรือไม่ว่าต้องการลบที่อยู่ที่เลือก?,Bạn có chắc chắn muốn xóa các địa chỉ đã chọn không?,क्या आप वाकई चयनित पतों को हटाना चाहते हैं?,Möchten Sie die ausgewählten Adressen wirklich löschen?,Êtes-vous sûr de vouloir supprimer les adresses sélectionnées ?,Tem certeza de que deseja excluir os endereços selecionados?,¿Está seguro de eliminar las direcciones seleccionadas?,Sei sicuro di voler eliminare gli indirizzi selezionati?,Bent u zeker dat u de geselecteerde adressen wilt verwijderen?,Er du sikker på at du vil slette de valgte adressene?,Är du säker på att du vill ta bort valda adresser?,Sunteți sigur că doriți să ștergeți adresele selectate?,Opravdu chcete odstranit vybrané adresy?
address.deleteSuccess,Deleted Successfully,删除成功,刪除成功,削除完了,삭제 완료,Berjaya Dipadam,ลบสำเร็จแล้ว,Xóa thành công,सफलतापूर्वक हटा दिया गया,Erfolgreich gelöscht,Suppression réussie,Excluído com sucesso,Eliminado correctamente,Eliminazione riuscita,Verwijderen geslaagd,Sletting vellykket,Borttagning lyckades,Ștergere reușită,Úspěšně odstraněno
address.copied,Copied to clipboard,已复制到剪贴板,已複製到剪貼板,クリップボードにコピーされました,클립보드에 복사되었습니다,Disalin ke papan klip,คัดลอกไปยังคลิปบอร์ดแล้ว,Đã sao chép vào bộ nhớ tạm,क्लिपबोर्ड पर कॉपी किया गया,In Zwischenablage kopiert,Copié dans le presse-papiers,Copiado para a área de transferência,Copiado al portapapeles,Copiato negli appunti,Gekopieerd naar klembord,Kopiert til utklippstavlen,Kopierat till urklipp,Copiat în clipboard,Zkopírováno do schránky
address.tokenType,Token Type,币种,幣種,コイン種類,코인 종류,Jenis Token,,Loại token,टोकन प्रकार,Währung,Devise,Moeda,Moneda,Valuta,Valuta,Valuta,Valuta,Monedă,Měna
address.chainType,Chain Type,链类型,鏈類型,チェーンタイプ,체인 종류,Jenis Rantai (Chain),ประเภทโทเค็น,Loại chuỗi,श्रृंखला प्रकार,Kettentyp,Type de réseau,Tipo de rede,Tipo de red,Tipo di rete,Kettingtype,Type kjede,Kedjetyp,Tip de rețea,Typ sítě
address.address,Address,地址,地址,アドレス,주소,Alamat,ประเภทเชน,Địa chỉ,पता,Adresse,Adresse,Endereço,Dirección,Indirizzo,Adres,Adresse,Adress,Adresă,Adresa
address.remark,Remark,备注,備註,メモ,메모,Catatan (Remark),ที่อยู่,Ghi chú,टिप्पणी,Notiz,Remarque,Observação,Nota,Nota,Opmerking,Merknad,Anteckning,Notă,Poznámka
address.optional,Optional,选填,選填,任意,선택 항목,Pilihan (Optional),หมายเหตุ (ไม่จำเป็น),Không bắt buộc,वैकल्पिक,Optional,Facultatif,Opcional,Opcional,Facoltativo,Niet verplicht,Valgfritt,Valfritt,Opțional,Volitelné
address.selectToken,Select Token,选择币种,選擇幣種,コインを選択,코인 종류 선택,Pilih Token,เลือกโทเค็น,Chọn token,टोकन चुनें,Währung auswählen,Sélectionner une devise,Selecione a moeda,Seleccionar moneda,Seleziona valuta,Kies valuta,Velg valuta,Välj valuta,Alege moneda,Zvolte měnu
address.selectChain,Select Chain Type,选择链类型,選擇鏈類型,チェーンタイプを選択,체인 종류 선택,Pilih Jenis Rantai (Chain Type),เลือกประเภทเชน,Chọn loại chuỗi,श्रृंखला प्रकार चुनें,Kettentyp auswählen,Sélectionner le type de réseau,Selecione o tipo de rede,Seleccionar tipo de red,Seleziona tipo di rete,Kies kettingtype,Velg kjedetype,Välj kedjetyp,Alege tipul de rețea,Zvolte typ sítě
address.enterAddress,Please enter or paste address,请输入或粘贴地址,請輸入或粘貼地址,アドレスを入力または貼り付けてください,주소를 입력하거나 붙여넣으세요,Sila masukkan atau tampal alamat,กรุณากรอกหรือวางที่อยู่,Vui lòng nhập hoặc dán địa chỉ,कृपया पता दर्ज करें या चिपकाएँ,Bitte Adresse eingeben oder einfügen,Entrez ou collez l’adresse,Digite ou cole o endereço,Ingrese o pegue la dirección,Inserisci o incolla l’indirizzo,Voer adres in of plak,Angi eller lim inn adresse,Ange eller klistra in adress,Introdus sau lipește adresa,Zadejte nebo vložte adresu
address.enterRemark,Please enter a remark name,请输入备注名称,請輸入備註名稱,メモ名を入力してください,메모 이름을 입력하세요,Sila masukkan nama catatan (remark),กรุณากรอกชื่อหมายเหตุ,Vui lòng nhập tên ghi chú,कृपया एक टिप्पणी नाम दर्ज करें,Bitte Namen der Notiz eingeben,Entrez le nom de la remarque,Insira o nome da observação,Ingrese el nombre de la nota,Inserisci il nome della nota,Voer opmerkingennaam in,Skriv inn merknadsnavn,Ange anteckningsnamn,Introdus numele notei,Zadejte název poznámky
address.invalidTronAddress,Invalid Tron address,无效的Tron地址,無效的Tron地址,無効なTronアドレスです,잘못된 Tron 주소입니다,Alamat Tron tidak sah,ที่อยู่ Tron ไม่ถูกต้อง,Địa chỉ Tron không hợp lệ,अवैध ट्रॉन पता,Ungültige Tron-Adresse,Adresse Tron invalide,Endereço Tron inválido,Dirección Tron no válida,Indirizzo Tron non valido,Ongeldig Tron-adres,Ugyldig Tron-adresse,Ogiltig Tron-adress,Adresă Tron invalidă,Neplatná Tron adresa
address.invalidEthAddress,Invalid Ethereum address,无效的以太坊地址,無效的以太坊地址,無効なイーサリアムアドレスです,잘못된 이더리움 주소입니다,Alamat Ethereum tidak sah,ที่อยู่ Ethereum ไม่ถูกต้อง,Địa chỉ Ethereum không hợp lệ,अवैध एथेरियम पता,Ungültige Ethereum-Adresse,Adresse Ethereum invalide,Endereço Ethereum inválido,Dirección Ethereum no válida,Indirizzo Ethereum non valido,Ongeldig Ethereum-adres,Ugyldig Ethereum-adresse,Ogiltig Ethereum-adress,Adresă Ethereum invalidă,Neplatná Ethereum adresa
address.addressExists,Address already exists,该地址已存在,該地址已存在,このアドレスはすでに存在します,이미 등록된 주소입니다,Alamat sudah wujud,ที่อยู่นี้มีอยู่แล้ว,Địa chỉ đã tồn tại,पता पहले से मौजूद है,Diese Adresse existiert bereits,Cette adresse existe déjà,Esse endereço já existe,Esta dirección ya existe,Questo indirizzo esiste già,Adres bestaat al,Adressen finnes allerede,Adressen finns redan,Adresa există deja,Tato adresa již existuje
address.addSuccess,Added successfully,添加成功,添加成功,追加成功,추가 완료,Berjaya Ditambah,เพิ่มสำเร็จแล้ว,Thêm thành công,सफलतापूर्वक जोड़ा गया,Erfolgreich hinzugefügt,Ajout réussi,Adicionado com sucesso,Agregado con éxito,Aggiunta completata,Toegevoegd met succes,Lagt til vellykket,Tillagt framgångsrikt,Adăugat cu succes,Úspěšně přidáno
address.defaultAddressName,My Address,我的地址,我的地址,マイアドレス,내 주소,Alamat Saya,ที่อยู่ของฉัน,Địa chỉ của tôi,मेरा पता,Meine Adressen,Mes adresses,Meus endereços,Mis direcciones,I miei indirizzi,Mijn adres,Mine adresser,Mina adresser,Adresele mele,Moje adresy
address.addressDetail,Address Details,地址详情,地址詳情,アドレス詳細,주소 상세,Butiran Alamat,รายละเอียดที่อยู่,Chi tiết địa chỉ,पते का विवरण,Adressdetails,Détails de l’adresse,Detalhes do endereço,Detalles de dirección,Dettagli dell’indirizzo,Adresdetails,Adresseinformasjon,Adressdetaljer,Detalii adresă,Podrobnosti adresy
address.addressNotFound,Address not found,找不到该地址,找不到該地址,アドレスが見つかりません,해당 주소를 찾을 수 없습니다,Alamat tidak dijumpai,ไม่พบที่อยู่,Không tìm thấy địa chỉ,पता नहीं मिला,Adresse nicht gefunden,Adresse introuvable,Endereço não encontrado,Dirección no encontrada,Impossibile trovare l’indirizzo,Adres niet gevonden,Adressen ble ikke funnet,Adressen hittades inte,Adresă negăsită,Adresa nebyla nalezena
address.updateSuccess,Updated successfully,更新成功,更新成功,更新完了,업데이트 완료,DikemasKini Berjaya,อัปเดตสำเร็จแล้ว,Cập nhật thành công,सफलतापूर्वक अपडेट किया गया,Erfolgreich aktualisiert,Mise à jour réussie,Atualizado com sucesso,Actualizado correctamente,Aggiornamento riuscito,Succesvol bijgewerkt,Vellykket oppdatert,Uppdaterad framgångsrikt,Actualizare reușită,Úspěšně aktualizováno
address.confirmDeleteSingle,Are you sure you want to delete this address?,确定要删除该地址吗？,確定要刪除該地址嗎？,このアドレスを削除してもよろしいですか？,해당 주소를 삭제하시겠습니까?,Adakah anda pasti ingin memadam alamat ini?,คุณแน่ใจหรือไม่ว่าต้องการลบที่อยู่นี้?,Bạn có chắc chắn muốn xóa địa chỉ này không?,क्या आप वाकई इस पते को हटाना चाहते हैं?,Möchten Sie diese Adresse wirklich löschen?,Êtes-vous sûr de vouloir supprimer cette adresse ?,Tem certeza de que deseja excluir este endereço?,¿Está seguro de eliminar esta dirección?,Sei sicuro di voler eliminare questo indirizzo?,Bent u zeker dat u dit adres wilt verwijderen?,Er du sikker på at du vil slette denne adressen?,Är du säker på att du vill ta bort denna adress?,Sunteți sigur că doriți să ștergeți această adresă?,Opravdu chcete tuto adresu odstranit?
address.addTime,Add Time,添加时间,添加時間,追加日時,추가 시간,Tambah Masa,วันที่เพิ่ม,Thời gian thêm,समय जोड़ें,Hinzugefügt am,Date d’ajout,Data de adição,Fecha de agregado,Data di aggiunta,Toevoegtijd,Tidspunkt lagt til,Tid för tillägg,Timp adăugare,Čas přidání
address.addressQR,Address QR Code,地址二维码,地址二維碼,アドレスのQRコード,주소 QR 코드,Kod QR Alamat,คิวอาร์โค้ดที่อยู่,Mã QR của địa chỉ,पता QR कोड,QR-Code der Adresse,Code QR de l’adresse,Código QR do endereço,Código QR de dirección,Codice QR dell’indirizzo,QR-code van adres,Adresse QR-kode,Adressens QR-kod,Cod QR adresă,QR kód adresy
address.scanTip,Scan the QR code to get this address,扫描二维码获取此地址,掃描二維碼獲取此地址,QRコードをスキャンしてこのアドレスを取得してください,QR 코드를 스캔하여 이 주소를 가져오세요,Imbas kod QR untuk mendapatkan alamat ini,สแกนคิวอาร์โค้ดเพื่อรับที่อยู่นี้,Quét mã QR để lấy địa chỉ này,इस पते को प्राप्त करने के लिए QR कोड स्कैन करें,Scannen Sie den QR-Code für diese Adresse,Scannez le QR code pour obtenir cette adresse,Escaneie o código QR para obter este endereço,Escanee el código QR para obtener esta dirección,Scansiona il codice QR per ottenere questo indirizzo,Scan de QR-code om dit adres te krijgen,Skann QR-koden for å få denne adressen,Skanna QR-koden för att få adressen,Scanează codul QR pentru a obține această adresă,Naskenujte QR kód pro získání této adresy
邀请好友共同体验,Invite friends to experience AI investment funds together!,邀请好友共同体验 AI 投资基金！,邀請好友共同體驗 AI 投資基金！,友達を招待してAI投資ファンドを一緒に体験しよう！,친구를 초대하여 AI 투자 펀드를 함께 체험하세요!,Jemput rakan-rakan untuk bersama-sama mengalami dana pelaburan AI!,เชิญชวนเพื่อนมาร่วมสัมผัสประสบการณ์กองทุนลงทุนด้วย AI!,Mời bạn bè cùng trải nghiệm quỹ đầu tư AI!,एआई निवेश फंडों का एक साथ अनुभव करने के लिए दोस्तों को आमंत्रित करें!,"Lade Freunde ein, AI-Investmentfonds gemeinsam zu erleben!",Invitez vos amis à découvrir ensemble le fonds d’investissement IA !,Convide seus amigos para experimentar juntos o fundo de investimento em IA!,¡Invita a tus amigos a experimentar juntos el fondo de inversión en IA!,Invita gli amici a provare insieme i fondi di investimento AI!,Nodig vrienden uit om samen het AI-investeringsfonds te ervaren!,Inviter venner til å prøve AI-investeringsfondet sammen!,Bjud in vänner att uppleva AI-investeringsfonden tillsammans!,Invită prieteni să încerce fondul de investiții AI împreună!,"Pozvěte přátele, aby společně vyzkoušeli AI investiční fond!"
去邀请,Invite Now,去邀请,去邀請,招待する,초대하기,Jemput Sekarang,เชิญตอนนี้,Mời ngay,अभी आमंत्रित करें,Jetzt einladen,Inviter maintenant,Convidar agora,Invitar ahora,Invita ora,Nodig uit,Gå til invitasjon,Gå till inbjudan,Du-te la invitație,Přejít na pozvánku
信仰节点,Faith Node,信仰节点,信仰節點,バリデーションノード,신앙 노드,Nod Faith,โหนด Faith,Nút Đức Tin,विश्वास नोड,Glaubens-Knotenpunkt,Nœud de foi,Nó de fé,Nodo de fe,Nodo di fede,Geloofsknooppunt,Trosnoden,Trosknutpunkt,Nod de credință,Vírový uzel
创世节点,Genesis Node,创世节点,創世節點,ジェネシスノード,창세 노드,Nod Genesis,โหนด Genesis,Nút Khởi Nguyên,जेनेसिस नोड,Genesis-Knotenpunkt,Nœud Genèse,Nó Gênesis,Nodo Génesis,Nodo Genesi,Oorsprongsknooppunt,Genesis-noden,Genesisknutpunkt,Nod de început,Počáteční uzel
